person,distance,volume,degrees,subject,sound
1,3,2,-25,5,30
1,3,5,-25,45,70
1,3,8,2,172,170
1,5,2,5,165,160
1,5,5,25,135,110
1,5,8,15,148,133
1,7,2,-5,50,55
1,7,5,10,115,105
1,7,8,-8,160,168
2,3,2,-10,120,130
2,3,5,-13,65,78
2,3,8,-5,125,130
2,5,2,-4,98,102
2,5,5,33,180,147
2,5,8,-11,64,75
2,7,2,-31,101,132
2,7,5,-11,119,130
2,7,8,-25,3,28
3,3,2,10,75,65
3,3,5,40,180,140
3,3,8,-5,40,45
3,5,2,-130,-40,90
3,5,5,-5,45,50
3,5,8,27,137,110
3,7,2,3,70,67
3,7,5,-3,147,150
3,7,8,-25,65,90
4,3,2,0,45,45
4,3,5,-5,95,100
4,3,8,5,50,45
4,5,2,-23,72,95
4,5,5,-10,120,130
4,5,8,-10,20,30
4,7,2,-3,35,38
4,7,5,-5,75,80
4,7,8,5,130,125
